transaction_id,date,amount,reference,description,bank_account,transaction_type
BANK00250,2024-01-01,418.23,REF984979,Transaction REF984979,BUSINESS_ACCOUNT_001,CREDIT
BANK00105,2024-01-01,799.12,REF242045,Transaction REF242045,BUSINESS_ACCOUNT_001,DEBIT
BANK00136,2024-01-01,1068.91,CHK356210,Transaction CHK356210,BUSINESS_ACCOUNT_001,DEBIT
BANK00474,2024-01-01,50.0,INV862347,Transaction INV862347,BUSINESS_ACCOUNT_001,CREDIT
BANK00438,2024-01-01,603.77,INV476627,Transaction INV476627,BUSINESS_ACCOUNT_001,DEBIT
BANK00434,2024-01-01,250.0,PAY546511,Transaction PAY546511,BUSINESS_ACCOUNT_001,TRANSFER
BANK00210,2024-01-01,1442.87,TRF944674,Transaction TRF944674,BUSINESS_ACCOUNT_001,DEBIT
BANK00432,2024-01-01,749.95,SAL993654,Transaction SAL993654,BUSINESS_ACCOUNT_001,TRANSFER
BANK00177,2024-01-01,829.56,SAL558783,Transaction SAL558783,BUSINESS_ACCOUNT_001,CREDIT
BANK00263,2024-01-01,1107.93,REF738501,Transaction REF738501,BUSINESS_ACCOUNT_001,CREDIT
BANK00206,2024-01-02,230.16,SAL362616,Transaction SAL362616,BUSINESS_ACCOUNT_001,CREDIT
BANK00207,2024-01-02,263.7,PAY925168,Transaction PAY925168,BUSINESS_ACCOUNT_001,DEBIT
BANK00262,2024-01-02,1735.32,CHK180489,Transaction CHK180489,BUSINESS_ACCOUNT_001,DEBIT
BANK00201,2024-01-02,1507.28,REF034546,Transaction REF034546,BUSINESS_ACCOUNT_001,DEBIT
BANK00212,2024-01-02,511.08,SAL512083,Transaction SAL512083,BUSINESS_ACCOUNT_001,DEBIT
BANK00068,2024-01-02,500.0,TRF097507,Transaction TRF097507,BUSINESS_ACCOUNT_001,DEBIT
BANK00015,2024-01-02,484.09,TRF931083,Transaction TRF931083,BUSINESS_ACCOUNT_001,CREDIT
BANK00359,2024-01-02,841.36,TRF794369,Transaction TRF794369,BUSINESS_ACCOUNT_001,DEBIT
BANK00055,2024-01-02,50.0,CHK617275,Transaction CHK617275,BUSINESS_ACCOUNT_001,TRANSFER
BANK00019,2024-01-02,31.57,REF735020,Transaction REF735020,BUSINESS_ACCOUNT_001,CREDIT
BANK00480,2024-01-02,500.0,TRF728676,Transaction TRF728676,BUSINESS_ACCOUNT_001,TRANSFER
BANK00273,2024-01-03,250.0,PAY866083,Transaction PAY866083,BUSINESS_ACCOUNT_001,CREDIT
BANK00235,2024-01-03,1840.51,PAY817459,Transaction PAY817459,BUSINESS_ACCOUNT_001,DEBIT
BANK00041,2024-01-03,1419.28,INV886497,Transaction INV886497,BUSINESS_ACCOUNT_001,CREDIT
BANK00135,2024-01-03,1791.46,CHK588177,Transaction CHK588177,BUSINESS_ACCOUNT_001,DEBIT
BANK00181,2024-01-03,370.65,TRF632107,Transaction TRF632107,BUSINESS_ACCOUNT_001,DEBIT
BANK00012,2024-01-03,264.1,PAY501091,Transaction PAY501091,BUSINESS_ACCOUNT_001,CREDIT
BANK00202,2024-01-03,1559.36,TRF821851,Transaction TRF821851,BUSINESS_ACCOUNT_001,TRANSFER
BANK00048,2024-01-04,1490.98,PAY424649,Transaction PAY424649,BUSINESS_ACCOUNT_001,TRANSFER
BANK00067,2024-01-04,100.0,TRF494859,Transaction TRF494859,BUSINESS_ACCOUNT_001,CREDIT
BANK00150,2024-01-04,500.0,REF414360,Transaction REF414360,BUSINESS_ACCOUNT_001,CREDIT
BANK00071,2024-01-04,333.61,CHK507422,Transaction CHK507422,BUSINESS_ACCOUNT_001,CREDIT
BANK00476,2024-01-04,250.0,TRF562854,Transaction TRF562854,BUSINESS_ACCOUNT_001,DEBIT
BANK00326,2024-01-04,1582.13,REF774974,Transaction REF774974,BUSINESS_ACCOUNT_001,DEBIT
BANK00137,2024-01-05,250.0,INV804687,Transaction INV804687,BUSINESS_ACCOUNT_001,CREDIT
BANK00410,2024-01-05,250.0,REF580754,Transaction REF580754,BUSINESS_ACCOUNT_001,CREDIT
BANK00115,2024-01-05,368.33,INV685950,Transaction INV685950,BUSINESS_ACCOUNT_001,DEBIT
BANK00069,2024-01-06,1076.83,CHK301246,Transaction CHK301246,BUSINESS_ACCOUNT_001,CREDIT
BANK00334,2024-01-06,250.0,PAY351679,Transaction PAY351679,BUSINESS_ACCOUNT_001,CREDIT
BANK00412,2024-01-06,22.71,REF049457,Transaction REF049457,BUSINESS_ACCOUNT_001,CREDIT
BANK00167,2024-01-06,100.0,REF849690,Transaction REF849690,BUSINESS_ACCOUNT_001,TRANSFER
BANK00043,2024-01-07,504.96,SAL656761,Transaction SAL656761,BUSINESS_ACCOUNT_001,CREDIT
BANK00258,2024-01-07,500.0,SAL621387,Transaction SAL621387,BUSINESS_ACCOUNT_001,CREDIT
BANK00302,2024-01-07,843.35,CHK990439,Transaction CHK990439,BUSINESS_ACCOUNT_001,DEBIT
BANK00374,2024-01-07,469.03,INV457904,Transaction INV457904,BUSINESS_ACCOUNT_001,DEBIT
