transaction_id,date,amount,reference,exception_type,priority,action_required,assigned_to,due_date
BANK00015,2024-01-02,484.09,TRF931083,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00055,2024-01-02,50.0,CHK617275,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00150,2024-01-04,500.0,REF414360,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00258,2024-01-07,500.0,SAL621387,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00302,2024-01-07,843.35,CHK990439,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00060,2024-01-08,1172.79,INV748092,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00380,2024-01-08,527.86,SAL795586,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00103,2024-01-09,250.0,INV302371,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00467,2024-01-10,1905.77,TRF852139,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00051,2024-01-14,100.0,PAY357757,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00152,2024-01-15,50.0,SAL684462,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00033,2024-01-15,1678.58,TRF271574,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00459,2024-01-16,502.6,CHK371802,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00330,2024-01-17,1387.63,INV641886,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00286,2024-01-18,1601.71,SAL406165,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00236,2024-01-20,700.44,SAL120885,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00022,2024-01-21,1151.14,TRF095870,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00444,2024-01-22,1929.4,INV948199,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00429,2024-01-23,1501.81,PAY819513,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00190,2024-01-24,760.12,SAL635124,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00161,2024-01-28,500.0,TRF154505,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00500,2024-01-29,172.24,REF644470,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00344,2024-02-02,967.31,REF625999,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00277,2024-02-02,1822.14,TRF064476,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00294,2024-02-02,1631.96,PAY862401,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00122,2024-02-03,1073.5,CHK325187,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00131,2024-02-04,250.0,SAL876481,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00200,2024-02-08,1150.57,PAY344640,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00293,2024-02-10,1646.94,TRF571302,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00364,2024-02-12,561.76,REF127461,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00189,2024-02-13,1635.03,INV763872,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00331,2024-02-13,506.84,CHK674862,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00059,2024-02-13,914.54,PAY899268,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00170,2024-02-13,1069.85,SAL136877,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00164,2024-02-14,418.1,CHK698879,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00306,2024-02-17,500.0,PAY834127,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00436,2024-02-17,213.37,TRF618817,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00271,2024-02-17,290.75,TRF748740,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00324,2024-02-17,50.0,INV406721,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00188,2024-02-20,1755.63,PAY135668,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00449,2024-02-20,743.37,CHK779586,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00198,2024-02-21,341.79,REF774589,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00314,2024-02-23,1000.0,REF069566,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00072,2024-02-23,1646.85,CHK703987,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00414,2024-02-24,1267.31,REF299148,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00349,2024-02-27,1045.13,PAY442707,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00192,2024-02-28,1010.41,CHK341516,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00021,2024-02-29,1900.62,REF636689,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00034,2024-03-02,452.93,SAL935024,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00100,2024-03-05,1000.0,TRF454029,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00386,2024-03-06,788.43,PAY398172,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00457,2024-03-09,100.0,INV578050,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00244,2024-03-11,364.29,REF734894,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00083,2024-03-12,1000.0,CHK772643,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00497,2024-03-14,1000.0,SAL798996,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00307,2024-03-16,50.0,SAL208432,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00446,2024-03-16,648.28,PAY686946,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00090,2024-03-22,100.0,CHK480928,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00088,2024-03-25,267.03,REF254776,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00309,2024-03-26,1445.85,TRF253523,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00085,2024-03-27,1115.31,TRF863136,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00107,2024-03-28,302.68,TRF826414,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00175,2024-03-29,100.0,REF815650,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00253,2024-03-29,595.15,PAY546874,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00049,2024-03-29,482.64,SAL622591,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00360,2024-03-30,1477.79,TRF050768,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00215,2024-03-30,929.39,SAL762013,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
BANK00460,2024-03-30,458.82,INV077328,Bank Transaction Unmatched,High,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00388,2024-01-02,484.09,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00485,2024-01-03,569.95,CHK459120,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00497,2024-01-03,943.22,REF590192,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00473,2024-01-04,918.81,CHK224501,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00107,2024-01-05,843.35,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00493,2024-01-06,1008.35,SAL705742,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00466,2024-01-06,405.4,REF550209,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00230,2024-01-08,1172.79,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00391,2024-01-10,527.86,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00496,2024-01-10,193.87,INV093762,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00464,2024-01-13,571.03,INV224894,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00471,2024-01-14,1423.27,REF673228,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00366,2024-01-15,1678.58,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00457,2024-01-16,784.91,INV345748,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00130,2024-01-17,1387.63,,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
LEDG00456,2024-01-18,386.44,REF194224,Ledger Transaction Unmatched,Medium,Investigate discrepancy,Reconciliation Team,2026-08-22 21:37:56.732896
